start_t,clone_t,kill_t
1.068,1.172,0.337
0.914,1.015,0.325
0.878,1.18,0.361
0.85,1.162,0.31
0.924,1.051,0.344
0.89,1.049,0.335
0.858,0.987,0.35
0.938,1.049,0.316
0.884,1.032,0.306
0.931,1.011,0.322
