Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,16.82,0.0,0.0
AddUserTest,PASSED,16.146,12.988,0.033
AddUserEmptyTest,PASSED,15.542,0.0,2.497
AddProjectTest,PASSED,18.669,17.398,0.003
AddProjectEmptyTest,PASSED,16.537,0.0,3.277
LoginNegativeTest,PASSED,13.053,0.0,0.42
LogoutTest,PASSED,12.578,0.0,4.513
AddUserWrongTest,PASSED,19.669,0.0,0.778
UpdateUserTest,PASSED,23.164,0.0,0.345
UpdateUserEmptyTest,PASSED,29.859,0.0,1.185
DeleteUserTest,PASSED,32.584,0.0,0.0
AddProjectWrongTest,PASSED,28.214,0.0,0.399
AddCategoryTest,PASSED,28.582,8.586,0.011
AddCategoryEmptyTest,PASSED,27.563,0.0,1.142
AddIssueEmptyTest,PASSED,26.319,0.0,0.643
UpdateProjectDescriptionTest,PASSED,30.072,0.0,0.401
UpdateProjectStatusTest,PASSED,28.444,0.0,0.409
UpdateProjectViewStatusTest,PASSED,26.439,0.0,0.374
DeleteProjectTest,PASSED,27.392,0.0,0.0
AddMultipleUsersTest,PASSED,28.009,0.0,0.0
AddCategoryWrongTest,FAILED,43.791,0.0,0.418
AddIssueTest,PASSED,21.522,9.506,0.017
UpdateCategoryTest,PASSED,17.681,0.0,0.391
UpdateCategoryEmptyTest,PASSED,16.728,0.0,0.38
DeleteCategoryTest,PASSED,17.834,0.0,1.385
AddMultipleSubprojectsTest,PASSED,20.918,0.0,0.0
DeleteMultipleUsersTest,PASSED,24.316,0.0,1.601
ViewSummaryIssueTest,FAILED,42.425,0.0,0.373
UpdateIssuePriorityTest,FAILED,42.898,0.0,0.353
UpdateIssueSeverityTest,PASSED,20.323,0.0,0.394
AssignIssueTest,PASSED,19.28,11.565,0.336
UpdateIssueSummaryTest,PASSED,19.335,0.0,0.575
DeleteIssueTest,PASSED,18.605,0.0,0.892
UnlinkMultipleSubprojectsTest,PASSED,1.3308666666666666,0.0,0.0
UpdateIssueStatusNewTest,PASSED,17.238,0.0,0.371
UpdateIssueStatusFeedbackTest,PASSED,18.632,0.0,0.388
UpdateIssueStatusAcknowledgedTest,PASSED,17.851,0.0,0.347
UpdateIssueStatusConfirmedTest,PASSED,16.265,0.0,0.355
UpdateIssueStatusAssignedTest,PASSED,14.7,0.0,0.432
UpdateIssueStatusResolvedTest,PASSED,14.506,0.0,0.317
LinkMultipleSubprojectsTest,PASSED,3.969,0.0,0.0
DeleteMultipleSubprojectsTest,PASSED,1.07115,0.0,0.283
