Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,17.402,0.0,0.0
AddUserTest,PASSED,17.078,12.155,0.016
AddUserEmptyTest,PASSED,16.002,0.0,0.365
AddProjectTest,PASSED,17.355,18.532,0.015
AddProjectEmptyTest,PASSED,15.998,0.0,6.242
LoginNegativeTest,PASSED,12.743,0.0,1.592
LogoutTest,PASSED,12.677,0.0,0.478
AddUserWrongTest,PASSED,14.539,0.0,2.406
UpdateUserTest,PASSED,23.51,0.0,0.367
UpdateUserEmptyTest,PASSED,26.593,0.0,0.604
DeleteUserTest,PASSED,27.969,0.0,0.0
AddProjectWrongTest,PASSED,26.194,0.0,0.346
AddCategoryTest,FAILED,48.271,6.222,0.016
AddCategoryEmptyTest,PASSED,26.432,0.0,0.406
AddIssueEmptyTest,PASSED,24.262,0.0,0.474
UpdateProjectDescriptionTest,PASSED,25.034,0.0,0.318
UpdateProjectStatusTest,PASSED,22.971,0.0,0.478
UpdateProjectViewStatusTest,PASSED,21.371,0.0,0.355
DeleteProjectTest,PASSED,20.887,0.0,0.0
AddMultipleUsersTest,PASSED,8.94,0.0,0.0
AddCategoryWrongTest,FAILED,8.289,0.0,0.307
AddIssueTest,FAILED,38.213,9.692,0.009
UpdateCategoryTest,FAILED,40.598,0.0,1.772
UpdateCategoryEmptyTest,FAILED,9.178,0.0,0.303
DeleteCategoryTest,FAILED,37.542,0.0,0.751
AddMultipleSubprojectsTest,PASSED,7.159,0.0,0.0
DeleteMultipleUsersTest,PASSED,6.6,0.0,0.321
ViewSummaryIssueTest,FAILED,40.843,0.0,0.318
UpdateIssuePriorityTest,FAILED,41.447,0.0,0.322
UpdateIssueSeverityTest,FAILED,41.749,0.0,0.317
AssignIssueTest,FAILED,41.516,8.958,0.271
UpdateIssueSummaryTest,FAILED,40.252,0.0,1.017
DeleteIssueTest,FAILED,39.203,0.0,0.313
UnlinkMultipleSubprojectsTest,PASSED,1.1061166666666666,0.0,0.0
UpdateIssueStatusNewTest,FAILED,39.055,0.0,0.324
UpdateIssueStatusFeedbackTest,FAILED,41.585,0.0,0.332
UpdateIssueStatusAcknowledgedTest,FAILED,41.991,0.0,0.344
UpdateIssueStatusConfirmedTest,FAILED,40.431,0.0,0.306
UpdateIssueStatusAssignedTest,FAILED,40.136,0.0,0.537
UpdateIssueStatusResolvedTest,FAILED,40.122,0.0,0.283
LinkMultipleSubprojectsTest,PASSED,5.738,0.0,0.0
DeleteMultipleSubprojectsTest,PASSED,1.0974,0.0,0.606
