Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,22.959,0.0,0.0
AddUserTest,PASSED,21.524,20.553,0.026
AddCourseTest,PASSED,29.776,16.337,0.007
SearchAdminTest,PASSED,26.08,0.0,2.134
AddEmptyUserTest,PASSED,28.775,0.0,0.71
AddWrongEmailUserTest,PASSED,38.088,0.0,1.257
AddWrongPasswordUserTest,PASSED,43.104,0.0,0.404
AddEmptyCourseTest,PASSED,39.858,0.0,0.374
AddPasswordCourseTest,PASSED,47.433,0.0,0.0
AddDeniedCourseTest,PASSED,45.281,0.0,0.0
SearchUserTest,PASSED,44.095,0.0,0.35
LoginUserTest,PASSED,38.957,0.0,0.433
AddCourseTest,PASSED,49.324,0.0,0.0
AddMultipleUsersTest,PASSED,1.0407166666666667,5.896,0.005
AddTwiceUserTest,PASSED,46.53,0.0,0.76
AddDeniedCourseTest,PASSED,43.409,0.0,0.0
AddPasswordCourseTest,PASSED,42.595,1.817,0.01
RemoveUserTest,PASSED,37.617,0.0,0.451
SearchCourseTest,PASSED,40.431,0.0,0.384
SearchAllowedCourseTest,PASSED,39.039,0.0,0.376
AddCourseExerciseTest,PASSED,40.532,3.736,0.01
AddCourseEventTest,PASSED,41.287,0.0,0.0
RemoveCourseTest,PASSED,34.898,0.0,0.356
SearchAndRemovePasswordCourseTest,PASSED,31.237,0.0,0.562
SearchAndRemoveDeniedCourseTest,PASSED,33.613,0.0,0.375
EnrolUserTest,PASSED,27.322,3.873,0.008
SearchMultipleUsersTest,PASSED,33.543,0.0,0.366
SearchStudentTest,PASSED,33.776,0.0,0.382
SearchTeacherTest,PASSED,32.772,0.0,0.411
RemoveMultipleUsersTest,PASSED,33.25,0.0,0.384
EnrolDeniedCourseTest,PASSED,29.212,0.0,0.38
EnrolPasswordCourseWrongPasswordUserTest,PASSED,36.612,0.0,0.738
EnrolPasswordCourseGoodPasswordUserTest,PASSED,37.863,0.0,0.378
AddCourseExerciseQuestionsTest,PASSED,49.174,0.0,0.0
RemoveCourseExerciseTest,PASSED,36.1,0.0,0.419
RemoveCourseEventTest,PASSED,34.809,0.0,0.417
AddCourseExerciseTest,PASSED,28.09,0.0,0.0
AddMultipleUsersTest,PASSED,29.869,0.0,0.0
RemoveEnrolUserTest,PASSED,24.845,0.0,0.344
RemoveCourseExerciseQuestionsTest,PASSED,7.726,0.0,0.323
MakeCourseExerciseVisibleTest,PASSED,5.675,0.0,0.0
EnrolMultipleUsersTest,FAILED,12.513,0.0,0.0
AddCourseExerciseQuestionsTest,PASSED,11.058,1.232,0.003
RemoveEnrolMultipleUsersTest,FAILED,6.559,0.0,0.363
DoCourseExerciseQuestionsTest,PASSED,7.805,0.0,0.0
AddMultipleUsersTest,PASSED,10.133,0.0,0.0
ViewProfileStatisticsUserTest,PASSED,4.473,0.0,0.346
EnrolMultipleUsersTest,FAILED,9.601,0.0,0.0
DoCourseExerciseQuestionsMultipleUsersTest,FAILED,9.383,0.0,0.352
