Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,23.704,0.0,0.0
AddUserTest,PASSED,22.382,25.146,0.004
AddCourseTest,PASSED,28.616,15.275,0.039
SearchAdminTest,PASSED,27.244,0.0,4.683
AddEmptyUserTest,PASSED,28.502,0.0,4.694
AddWrongEmailUserTest,PASSED,42.024,0.0,1.126
AddWrongPasswordUserTest,PASSED,37.976,0.0,0.759
AddEmptyCourseTest,PASSED,36.098,0.0,1.551
AddPasswordCourseTest,PASSED,45.3,0.0,0.0
AddDeniedCourseTest,PASSED,44.284,0.0,0.0
SearchUserTest,PASSED,43.565,0.0,0.356
LoginUserTest,PASSED,38.889,0.0,0.427
AddCourseTest,PASSED,48.934,0.0,0.0
AddMultipleUsersTest,PASSED,1.022,5.674,0.016
AddTwiceUserTest,PASSED,43.968,0.0,0.371
AddDeniedCourseTest,PASSED,40.802,0.0,0.0
AddPasswordCourseTest,PASSED,38.074,2.781,0.009
RemoveUserTest,PASSED,34.365,0.0,0.382
SearchCourseTest,PASSED,40.934,0.0,0.361
SearchAllowedCourseTest,FAILED,35.979,0.0,0.375
AddCourseExerciseTest,PASSED,44.353,1.822,0.002
AddCourseEventTest,PASSED,46.214,0.0,0.0
RemoveCourseTest,PASSED,35.676,0.0,0.456
SearchAndRemovePasswordCourseTest,PASSED,33.288,0.0,1.343
SearchAndRemoveDeniedCourseTest,PASSED,33.48,0.0,0.445
EnrolUserTest,PASSED,25.999,3.732,0.01
SearchMultipleUsersTest,PASSED,31.754,0.0,0.356
SearchStudentTest,PASSED,32.2,0.0,0.384
SearchTeacherTest,PASSED,30.628,0.0,0.352
RemoveMultipleUsersTest,PASSED,31.75,0.0,0.334
EnrolDeniedCourseTest,PASSED,30.846,0.0,0.393
EnrolPasswordCourseWrongPasswordUserTest,PASSED,34.59,0.0,0.329
EnrolPasswordCourseGoodPasswordUserTest,PASSED,33.265,0.0,0.376
AddCourseExerciseQuestionsTest,PASSED,49.254,0.0,0.0
RemoveCourseExerciseTest,PASSED,35.773,0.0,0.344
RemoveCourseEventTest,PASSED,32.935,0.0,0.357
AddCourseExerciseTest,PASSED,26.948,0.0,0.0
AddMultipleUsersTest,PASSED,28.598,0.0,0.0
RemoveEnrolUserTest,PASSED,23.332,0.0,0.333
RemoveCourseExerciseQuestionsTest,PASSED,7.86,0.0,0.381
MakeCourseExerciseVisibleTest,PASSED,5.748,0.0,0.0
EnrolMultipleUsersTest,FAILED,12.908,0.0,0.0
AddCourseExerciseQuestionsTest,PASSED,11.395,1.422,0.004
RemoveEnrolMultipleUsersTest,FAILED,5.565,0.0,0.355
DoCourseExerciseQuestionsTest,PASSED,7.406,0.0,0.0
AddMultipleUsersTest,PASSED,9.549,0.0,0.0
ViewProfileStatisticsUserTest,PASSED,4.625,0.0,0.314
EnrolMultipleUsersTest,FAILED,9.708,0.0,0.0
DoCourseExerciseQuestionsMultipleUsersTest,FAILED,9.588,0.0,0.297
