Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,20.231,0.0,0.0
AddUserTest,PASSED,20.965,14.732,0.014
AddUserEmptyTest,PASSED,17.812,0.0,0.395
AddProjectTest,PASSED,21.013,22.057,0.011
AddProjectEmptyTest,PASSED,19.586,0.0,2.668
LoginNegativeTest,PASSED,16.318,0.0,4.094
LogoutTest,PASSED,15.569,0.0,2.233
AddUserWrongTest,PASSED,23.745,0.0,0.379
UpdateUserTest,PASSED,40.002,0.0,0.401
UpdateUserEmptyTest,PASSED,39.184,0.0,0.368
DeleteUserTest,PASSED,39.602,0.0,0.0
AddProjectWrongTest,PASSED,27.611,0.0,0.407
AddCategoryTest,PASSED,32.501,8.332,0.024
AddCategoryEmptyTest,PASSED,35.621,0.0,0.651
AddIssueEmptyTest,PASSED,34.316,0.0,0.355
UpdateProjectDescriptionTest,FAILED,53.632,0.0,0.621
UpdateProjectStatusTest,PASSED,34.862,0.0,0.357
UpdateProjectViewStatusTest,PASSED,33.285,0.0,0.357
DeleteProjectTest,PASSED,34.099,0.0,0.0
AddMultipleUsersTest,PASSED,31.008,0.0,0.0
AddCategoryWrongTest,PASSED,26.136,0.0,0.372
AddIssueTest,PASSED,26.049,10.041,0.018
UpdateCategoryTest,PASSED,23.049,0.0,0.57
UpdateCategoryEmptyTest,PASSED,20.871,0.0,0.367
DeleteCategoryTest,PASSED,22.155,0.0,1.498
AddMultipleSubprojectsTest,PASSED,25.773,0.0,0.0
DeleteMultipleUsersTest,PASSED,25.647,0.0,0.322
ViewSummaryIssueTest,PASSED,15.033,0.0,0.347
UpdateIssuePriorityTest,PASSED,20.054,0.0,0.356
UpdateIssueSeverityTest,PASSED,19.764,0.0,1.649
AssignIssueTest,PASSED,17.541,10.329,0.009
UpdateIssueSummaryTest,PASSED,18.535,0.0,0.958
DeleteIssueTest,PASSED,18.478,0.0,1.402
UnlinkMultipleSubprojectsTest,PASSED,1.2979166666666666,0.0,0.0
UpdateIssueStatusNewTest,FAILED,41.317,0.0,0.294
UpdateIssueStatusFeedbackTest,PASSED,16.343,0.0,0.362
UpdateIssueStatusAcknowledgedTest,PASSED,16.816,0.0,0.352
UpdateIssueStatusConfirmedTest,PASSED,15.448,0.0,0.376
UpdateIssueStatusAssignedTest,PASSED,14.46,0.0,0.38
UpdateIssueStatusResolvedTest,PASSED,14.746,0.0,0.422
LinkMultipleSubprojectsTest,PASSED,4.021,0.0,0.0
DeleteMultipleSubprojectsTest,PASSED,1.0720166666666666,0.0,0.273
