Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,23.564,0.0,0.0
AddUserTest,PASSED,20.816,21.17,0.014
AddCourseTest,PASSED,32.955,13.277,0.011
SearchAdminTest,PASSED,30.719,0.0,4.709
AddEmptyUserTest,PASSED,29.782,0.0,4.047
AddWrongEmailUserTest,PASSED,44.739,0.0,0.376
AddWrongPasswordUserTest,PASSED,46.148,0.0,0.358
AddEmptyCourseTest,PASSED,40.886,0.0,0.409
AddPasswordCourseTest,PASSED,47.398,0.0,0.0
AddDeniedCourseTest,PASSED,47.658,0.0,0.0
SearchUserTest,PASSED,47.734,0.0,0.38
LoginUserTest,PASSED,42.465,0.0,0.425
AddCourseTest,PASSED,50.913,0.0,0.0
AddMultipleUsersTest,PASSED,1.0777,6.253,0.008
AddTwiceUserTest,PASSED,48.142,0.0,0.459
AddDeniedCourseTest,PASSED,48.149,0.0,0.0
AddPasswordCourseTest,PASSED,45.82,4.121,0.004
RemoveUserTest,PASSED,39.113,0.0,0.421
SearchCourseTest,PASSED,40.847,0.0,0.402
SearchAllowedCourseTest,PASSED,42.022,0.0,0.396
AddCourseExerciseTest,PASSED,43.559,1.896,0.005
AddCourseEventTest,PASSED,44.09,0.0,0.0
RemoveCourseTest,PASSED,36.361,0.0,0.345
SearchAndRemovePasswordCourseTest,PASSED,32.149,0.0,0.534
SearchAndRemoveDeniedCourseTest,PASSED,33.576,0.0,0.497
EnrolUserTest,PASSED,26.353,3.655,0.002
SearchMultipleUsersTest,PASSED,32.346,0.0,0.751
SearchStudentTest,PASSED,30.718,0.0,0.695
SearchTeacherTest,PASSED,29.638,0.0,0.359
RemoveMultipleUsersTest,PASSED,31.139,0.0,0.346
EnrolDeniedCourseTest,PASSED,28.738,0.0,0.494
EnrolPasswordCourseWrongPasswordUserTest,PASSED,34.192,0.0,0.369
EnrolPasswordCourseGoodPasswordUserTest,PASSED,34.583,0.0,0.356
AddCourseExerciseQuestionsTest,PASSED,48.734,0.0,0.0
RemoveCourseExerciseTest,PASSED,34.16,0.0,0.82
RemoveCourseEventTest,PASSED,31.806,0.0,0.382
AddCourseExerciseTest,PASSED,27.435,0.0,0.0
AddMultipleUsersTest,PASSED,29.52,0.0,0.0
RemoveEnrolUserTest,PASSED,24.413,0.0,0.338
RemoveCourseExerciseQuestionsTest,PASSED,7.993,0.0,0.342
MakeCourseExerciseVisibleTest,PASSED,5.93,0.0,0.0
EnrolMultipleUsersTest,FAILED,13.266,0.0,0.0
AddCourseExerciseQuestionsTest,PASSED,11.601,1.401,0.005
RemoveEnrolMultipleUsersTest,FAILED,5.955,0.0,0.332
DoCourseExerciseQuestionsTest,PASSED,7.369,0.0,0.0
AddMultipleUsersTest,PASSED,9.805,0.0,0.0
ViewProfileStatisticsUserTest,PASSED,4.746,0.0,0.333
EnrolMultipleUsersTest,FAILED,9.437,0.0,0.0
DoCourseExerciseQuestionsMultipleUsersTest,FAILED,9.273,0.0,0.289
