start_t,clone_t,kill_t
4.071,1.792,0.417
1.226,1.137,0.324
1.098,1.222,0.343
0.989,1.089,0.343
0.944,1.1,0.34
0.969,1.057,0.372
0.904,1.1,0.301
1.029,1.119,0.323
0.928,1.093,0.357
0.927,1.151,0.305
