start_t,clone_t,kill_t
1.159,1.244,0.376
0.926,1.121,0.378
0.918,1.105,0.293
0.94,1.13,0.326
0.887,1.105,0.31
1.008,1.091,0.326
0.907,1.019,0.314
0.957,1.074,0.349
1.066,1.1,0.34
0.998,1.088,0.382
