start_t,clone_t,kill_t
1.151,1.119,0.273
1.031,1.093,0.336
0.94,0.985,0.332
0.9,1.027,0.347
0.924,1.091,0.337
0.894,1.196,0.339
0.871,1.1,0.313
1.066,0.997,0.316
0.94,1.26,0.355
0.907,1.108,0.324
