start_t,clone_t,kill_t
1.093,1.056,0.299
0.968,1.0,0.327
0.891,1.067,0.305
0.892,1.035,0.302
0.991,1.026,0.316
0.892,1.104,0.299
0.822,1.126,0.302
0.881,1.086,0.325
0.919,1.1,0.287
0.824,1.014,0.332
